path	status	kind	name	amount	text_length	new_name	notes
/Users/okb/Downloads/mysoku-renamer/input_pdfs/(仮称)th上原　1F.pdf	OK	rent	と現況が異なる場合、現況を優先いたします	True	708	【賃貸】と現況が異なる場合、現況を優先いたします_家賃1円.pdf	embedded_text_708chars
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100130895591.pdf	OK	rent	火災保険料 ーー ママ 人 直角有二川	True	1564	【賃貸】火災保険料 ーー ママ 人 直角有二川_家賃1円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100132264390.pdf	OK	rent	@※ 種 店舗・事務所 (軽飲食相談可)		2680	【賃貸】@※ 種 店舗・事務所 (軽飲食相談可)_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100133412352.pdf	OK	unknown	※ と現況が異なる場合は現況を優先とします。	39210	2307	【その他】※ と現況が異なる場合は現況を優先とします。_未確定.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134498990.pdf	OK	rent	上 住居表示 ・ ・	9800000	3003	【賃貸】上 住居表示 ・ ・_家賃9,800,000円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134520642.pdf	OK	rent	※サブリース契約の解除はできません。	4000000	1288	【賃貸】※サブリース契約の解除はできません。_家賃4,000,000円.pdf	embedded_text_1288chars
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134698827.pdf	OK	rent	※万一 済みの場合はご了承ください。		3201	【賃貸】※万一 済みの場合はご了承ください。_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134781765.pdf	OK	rent	支渋谷駅徒歩5分の好立地 ! 東京都渋谷区渋谷3ー1ー15		974	【賃貸】支渋谷駅徒歩5分の好立地 ! 東京都渋谷区渋谷3ー1ー15_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134823272.pdf	OK	rent	グランデュオ都立大学3		4163	【賃貸】グランデュオ都立大学3_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100135120586.pdf	OK	rent	で ・ 短・%a の 南青山3	696960	3756	【賃貸】で ・ 短・%a の 南青山3_家賃696,960円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100135147907.pdf	OK	sell	※ と異なる場合は現況を優先となります。	135300	1837	【売買】※ と異なる場合は現況を優先となります。_13万円.pdf	ocr_ok
