path	status	kind	name	amount	text_length	new_name	notes
/Users/okb/Downloads/mysoku-renamer/input_pdfs/(仮称)th上原　1F.pdf	OK	rent	と現況が異なる場合、現況を優先いたします	True	708	【賃貸】と現況が異なる場合、現況を優先いたします_家賃1円.pdf	embedded_text_708chars
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100130895591.pdf	OK	rent	- +こごこり	True	2191	【賃貸】- +こごこり_家賃1円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100132264390.pdf	OK	rent	@※ポ 種 ・店舗・事務所 (軽飲食相談可)		2669	【賃貸】@※ポ 種 ・店舗・事務所 (軽飲食相談可)_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100133412352.pdf	OK	sell	学校や保育還も人内に多数あり ・	15200	1171	【売買】学校や保育還も人内に多数あり ・_1万円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134498990.pdf	OK	sell	住居表示 エー 、	20250613	3307	【売買】住居表示 エー 、_2,025万円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134520642.pdf	OK	rent	※サブリース契約の解除はできません。	4000000	1288	【賃貸】※サブリース契約の解除はできません。_家賃4,000,000円.pdf	embedded_text_1288chars
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134698827.pdf	OK	rent	※万一 済みの場合はご了承ください。		2821	【賃貸】※万一 済みの場合はご了承ください。_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134781765.pdf	OK	rent	免保証会社利用必須(上場企業等は相談可〕		1035	【賃貸】免保証会社利用必須(上場企業等は相談可〕_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100134823272.pdf	OK	rent	グランデュオ都立大学 3		3687	【賃貸】グランデュオ都立大学 3_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100135120586.pdf	OK	rent	【定休日】 土・日・祝日 ⑰ ・広告有効期限・		3314	【賃貸】【定休日】 土・日・祝日 ⑰ ・広告有効期限・_家賃未取得.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100135147907.pdf	OK	sell	※ と異なる場合は現況を優先となります。	135300	1851	【売買】※ と異なる場合は現況を優先となります。_13万円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/100135402368.pdf	OK	rent	LANDNBET ウンルームー	27800000	2155	【賃貸】LANDNBET ウンルームー_家賃27,800,000円.pdf	ocr_ok
/Users/okb/Downloads/mysoku-renamer/input_pdfs/5103661786XX (1).pdf	OK	rent	※記載の条件は予告なく変更する場合があります。	True	2643	【賃貸】※記載の条件は予告なく変更する場合があります。_家賃1円.pdf	ocr_ok
